"geno" "X1_280" "X1d_280" "X2_280" "X3_280" "X4_280" "X6_280" "X6d_280" "X7d_280" "X7_280" "X1d_320" "X2d_320" "X3d_320" "X3_320" "X4d_320" "p.COUM" "X6_320" "FERULIQ" "X9_320" "X5d_320" "X10_320" "X1d_360" "X2d_360" "X1_360" "X2_360" "X3d_360" "X4d_360" "X3_360" "X5d_360" "X6d_360" "Orient" "X7d_360" "HOMOO" "X8d_360" "ISOVIT" "X9d_360" "X10d_360" "X11d_360" "X8_360" "X10_360" "X11_360" "X14_360" "X15_360" "X16_360" "X17_360" "X18_360" "X22_360" "X23_360" "X24_360" "X25_360" "X28_360" "X29_360" "X30_360" "X31_360" "X32_360" "X33_360" "X34_360" "X35_360" "X36_360"
"dic2" 0 16.6 0 0 20.4333333333333 0 34.8 9.43333333333333 45.3666666666667 13.2 84.2666666666667 64.7333333333333 0 6.7 15.0333333333333 0 0 0 7.96666666666667 7.93333333333333 586.2 43.9 20.6 0 398.4 15.0666666666667 0 265.333333333333 18 12.9 118.5 60.8666666666667 50.3333333333333 41.5333333333333 52.8333333333333 188.433333333333 27.8 0 26.7666666666667 0 10.2666666666667 0 0 0 8.13333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"silur" 27.0333333333333 3.06666666666667 7.53333333333333 13.3 37.8333333333333 13.4333333333333 0 0 43.6666666666667 7.23333333333333 29.8666666666667 36.8333333333333 3.66666666666667 0 16.4666666666667 13.9 39.5333333333333 0 10.5 38.6333333333333 0 0 0 0 0 0 11.6666666666667 0 0 0 58.4666666666667 0 0 0 0 0 0 18.7666666666667 8.9 0 24.8 0 9.23333333333333 4.63333333333333 11.8666666666667 0 0 5.06666666666667 0 7.33333333333333 38.2666666666667 0 11.2333333333333 6.1 15.5666666666667 1.26666666666667 9.3 7.96666666666667
"TT06DC.38.03" 15.4333333333333 5.6 0 0 28.4333333333333 7 30.0666666666667 0 26.0333333333333 12.6333333333333 79.2333333333333 46.6 0 4.13333333333333 27.4 0 0 0 11.9 6.1 739.933333333333 54.6666666666667 79.0333333333333 25.1 257.7 0 25.0666666666667 319.266666666667 0 0 75.8 154.266666666667 58.1666666666667 28.2333333333333 57.2666666666667 247.7 71.8666666666667 0 16.5333333333333 0 9.36666666666667 0 0 0 7.86666666666667 0 0 6.16666666666667 0 0 0 0 0 0 0 0 0 0
"TT06DC.38.07" 11.1 8.53333333333333 0 4.73333333333333 22.9 0 29.6666666666667 0 23.3666666666667 0 33.7666666666667 48.7 8.93333333333333 9.5 12.2666666666667 13.3666666666667 0 0 12.3333333333333 48.1666666666667 109.9 12.9666666666667 4.93333333333333 0 155.933333333333 0 0 0 0 0 124.766666666667 25.6666666666667 0 0 17.3 61.7 11.9333333333333 14 0 35.3 43.7 0 10.5333333333333 7.33333333333333 22.6 0 12.7666666666667 11.8333333333333 5.5 13.9 104 6.86666666666667 25.4666666666667 10.0666666666667 28.8666666666667 0 27.9333333333333 36.2333333333333
"TT06DC.38.08" 8.93333333333333 3.13333333333333 0 3.66666666666667 26.8 4.06666666666667 6.63333333333333 0 194.2 1.7 31.4333333333333 47 5.46666666666667 0 7.76666666666667 0 0 0 5 46.3333333333333 0 0 9.96666666666667 0 0 0 15.9 0 0 0 95.1333333333333 0 0 0 0 0 0 19.7 0 18.6666666666667 30.7 0 9.53333333333333 5.63333333333333 16.8333333333333 0 6.86666666666667 7.26666666666667 12.7666666666667 14.1333333333333 158.2 8.83333333333333 27.4 11.7333333333333 30.9 4.33333333333333 27.8333333333333 41.6
"TT06DC.38.09" 18.0333333333333 0 0 0 14.9333333333333 0 55.8 0 779.233333333333 15.1333333333333 78.0333333333333 48.1 0 10.4333333333333 43.7 0 0 0 10.3333333333333 24.9 821 91.7 31.6 18.9666666666667 447.366666666667 21.9333333333333 0 409 30.1333333333333 19.0333333333333 132.766666666667 99.6 49.8333333333333 41.5666666666667 90.1 257.2 33.6666666666667 9.4 24.4666666666667 0 19.3333333333333 0 0 0 18.3666666666667 0 0 0 0 4.4 13.0333333333333 0 0 0 0 0 0 0
"TT06DC.38.11" 0 0 0 9.3 10.9666666666667 0 16.6666666666667 5.9 1131.06666666667 0 33.9333333333333 62.3333333333333 8.26666666666667 11.3666666666667 18.1666666666667 23.1333333333333 13.6666666666667 0 0 48.6 0 0 0 0 0 0 15.1666666666667 0 0 0 128.933333333333 0 0 0 0 0 0 16.4333333333333 56.3666666666667 0 49.3666666666667 0 13.9 6.43333333333333 24.1666666666667 0 22.9 0 33.6 36.2333333333333 105.6 10.8666666666667 27.3333333333333 10.2666666666667 25.7333333333333 5.3 27.3333333333333 32.1333333333333
"TT06DC.38.12" 21.1333333333333 17.1666666666667 0 0 37 6.1 43.3666666666667 13.4666666666667 82.6333333333333 17.2666666666667 76.5333333333333 55.4333333333333 0 0 32.0333333333333 0 0 0 11.4666666666667 20.6333333333333 833.1 77.8666666666667 0 31.1333333333333 261.933333333333 25.3666666666667 0 392.133333333333 0 20.5666666666667 110.7 111.466666666667 48.1 38.4333333333333 69.2333333333333 219.466666666667 44.1333333333333 7.83333333333333 41.6333333333333 0 17.9333333333333 0 4.3 0 12.6 0 0 0 0 7 22.7666666666667 0 7.03333333333333 0 0 4.93333333333333 0 0
"TT06DC.38.13" 8.26666666666667 0 0 6.8 28.8333333333333 0 25.8 6.63333333333333 1198.06666666667 0 73.4666666666667 61.8 6 8.56666666666667 24.7333333333333 0 0 0 12 29.3666666666667 576.033333333333 45.4 26.4 12.0333333333333 349.333333333333 15 0 144.866666666667 0 0 135.966666666667 52.3666666666667 36.7 26.8 36.5333333333333 140.2 22.1333333333333 9.3 26.9333333333333 0 21.2666666666667 0 0 0 14.5333333333333 0 6.5 0 7.26666666666667 11.3 44.9 5.43333333333333 11.8333333333333 5.9 13.1333333333333 2.8 6.73333333333333 8.53333333333333
"TT06DC.38.15" 0 9.2 0 9.03333333333333 23.1333333333333 0 34.6 7.83333333333333 988.733333333333 27.1 156.233333333333 85.0666666666667 0 0 34.4 0 0 0 5.33333333333333 20.8666666666667 2031.73333333333 230.333333333333 68.3333333333333 0 1013.46666666667 25.3 0 554.2 0 0 226.166666666667 118.966666666667 79.9 59.6 117.133333333333 374.9 37.5666666666667 16.4333333333333 16.8 0 25.6 0 0 0 26.5666666666667 0 0 0 0 4.53333333333333 9.4 0 0 0 0 4.46666666666667 0 0
"TT06DC.38.19" 8.73333333333333 0 7.9 0 22.2666666666667 0 0 0 1083.43333333333 7.8 75.4333333333333 62.2333333333333 7.4 0 29.2333333333333 17.4333333333333 0 0 0 0 143.566666666667 16.8 0 8.43333333333333 70.9 0 0 121.3 8.43333333333333 0 93.1666666666667 32.9 16.2333333333333 11.3 34.3666666666667 86.5333333333333 12.5666666666667 15.6 10.2666666666667 19.0333333333333 27.1666666666667 0 9.16666666666667 0 20.4 13.6666666666667 11.0666666666667 0 11.5 18.8666666666667 97.8 7.86666666666667 21.9333333333333 8.63333333333333 24.6333333333333 5.36666666666667 19.5333333333333 25.3333333333333
"TT06DC.38.23" 14.0333333333333 0 0 0 26.1 0 0 0 256.566666666667 0 38.1 48.3 5.36666666666667 6.66666666666667 19.1333333333333 18.8 12.3 8.26666666666667 11.7 0 205.366666666667 10.1333333333333 16.8666666666667 0 184.5 0 0 64.4333333333333 0 0 94.5 29.6 11.1666666666667 10.8 10.4 53.2333333333333 13.6666666666667 20.0333333333333 0 16.3666666666667 27.6 0 4 0 16.9333333333333 8.33333333333333 0 0 7.2 19.9 33.5 0 6.53333333333333 0 6.63333333333333 0 0 0
"TT06DC.38.24" 5.73333333333333 0 0 0 14.3666666666667 0 14 7.1 294.066666666667 12.2666666666667 50.6333333333333 68 7.46666666666667 0 36.3 29.4333333333333 0 0 0 37.3666666666667 776 75.2 48.7333333333333 0 441.533333333333 12.2666666666667 0 215.6 16.7 16.5666666666667 94.3333333333333 101.166666666667 45.0333333333333 26.0666666666667 71.4 259.266666666667 56.3 7.6 8.76666666666667 0 14.6666666666667 0 0 0 11.5333333333333 0 0 0 0 0 6.66666666666667 0 0 0 0 3.63333333333333 0 0
"TT06DC.38.25" 13.5 7.73333333333333 0 0 24.4 0 0 2.53333333333333 73.8333333333333 0 52.5666666666667 57.0666666666667 6.76666666666667 0 17.9 0 16.4 0 23.6666666666667 23.5333333333333 0 0 0 0 0 0 0 0 0 0 82.5666666666667 0 0 0 0 0 0 8.1 5.8 22.2 24.6 0 8.76666666666667 2.9 0 6.3 0 29.3666666666667 0 7.76666666666667 26.8 6.7 12.7 7.53333333333333 13.1333333333333 3 6.7 8.73333333333333
"TT06DC.38.27" 19.1333333333333 0 0 0 21.7333333333333 0 0 0 1144.33333333333 7.9 65.3333333333333 73.0666666666667 0 0 32.6 0 0 0 0 15.3666666666667 1123.9 81.0666666666667 48.3666666666667 69.9 438.5 43.5666666666667 0 381.466666666667 10.4 0 209.3 143.666666666667 77.9 55.8 84.4 418.633333333333 52.5 12.8666666666667 21.6 0 22.6333333333333 0 0 0 20.2333333333333 0 6.36666666666667 0 7.9 5.26666666666667 12.4666666666667 0 5 0 6 4.43333333333333 0 0
"TT06DC.38.29" 32.9666666666667 14.6333333333333 0 0 19.1 7.46666666666667 14.9666666666667 0 25.5 0 21.4666666666667 34.0666666666667 0 7.86666666666667 43.4333333333333 0 0 0 7.33333333333333 8.8 863.933333333333 90.1333333333333 40.5666666666667 19.3333333333333 262.7 16.5 0 372.366666666667 0 0 51.5 91.8333333333333 11.7333333333333 26.2 41.4666666666667 246.233333333333 41.5 0 9.03333333333333 0 11.7666666666667 0 0 0 13.0333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"TT06DC.38.32" 0 7.4 0 0 0 0 26.1 9.7 28.0333333333333 15.9 94.3333333333333 52.6 0 0 21.6 0 0 0 14.3666666666667 30.8333333333333 402.333333333333 48.4666666666667 22.3333333333333 0 337.9 12.9333333333333 0 162.066666666667 0 0 145.866666666667 70.7 29.0333333333333 21.1 47.5333333333333 135.4 29.9666666666667 8.53333333333333 0 17.0333333333333 18.6333333333333 0 7.2 0 16.1 8.13333333333333 0 0 7.3 0 39.3666666666667 5.96666666666667 15.6 7.1 16.8333333333333 0 16.9333333333333 17.3
"TT06DC.38.34" 0 8.03333333333333 1.53333333333333 0 0 0 29.1333333333333 9.03333333333333 115.533333333333 9.46666666666667 72.2666666666667 59.4333333333333 11.4333333333333 8.46666666666667 17.4 0 16.8333333333333 5.83333333333333 10.3 41 156.266666666667 17.2333333333333 9.36666666666667 0 123.2 0 0 55.6 0 0 122.333333333333 28.7666666666667 0 0 20.0333333333333 59.2333333333333 12.8666666666667 8.7 9.7 23.4666666666667 23.6666666666667 0 12.3333333333333 0 13.6666666666667 15.4 0 9.96666666666667 8.13333333333333 7.33333333333333 74.4333333333333 10.3333333333333 23.7 12.6666666666667 25.1333333333333 28.4333333333333 27.6 0
"TT06DC.38.35" 10.4333333333333 12.0333333333333 0 0 17.2666666666667 12.8333333333333 24.5333333333333 12.8666666666667 26.1333333333333 12.3 84.6 57.2 0 0 25.1333333333333 0 0 0 11.4 29.6 535 52.7 27.6333333333333 0 408.933333333333 19.7666666666667 0 281.133333333333 0 0 124.4 112.933333333333 55.4333333333333 26.4333333333333 73.2 289.533333333333 50 10.2 13.7 0 21.7 0 6.26666666666667 0 17.9 0 0 0 4.86666666666667 0 30.7 0 12.8666666666667 0 14.7666666666667 3.83333333333333 7.4 9.43333333333333
"TT06DC.38.36" 0 10.8 0 0 10.2 0 14.3333333333333 5.8 959 9.06666666666667 90.9666666666667 56.1333333333333 0 0 19.9666666666667 0 0 0 7 47.8666666666667 249.233333333333 26.9666666666667 12.3333333333333 0 224.533333333333 0 0 147.566666666667 9.8 0 123.3 44.3666666666667 25.5333333333333 0 34.8333333333333 114.9 18.1666666666667 11.8 0 10.9 20.1666666666667 0 8.43333333333333 0 16.2 7.86666666666667 7.76666666666667 12.6666666666667 5.63333333333333 4.36666666666667 72.2 9.8 26.0666666666667 11.7333333333333 26.9666666666667 0 28.9 29.5
"TT06DC.38.37" 10 0 0 0 39.0666666666667 0 0 29.1333333333333 594.833333333333 0 89.4 60.2333333333333 0 0 23.1 0 18.0666666666667 0 6.46666666666667 10.5333333333333 784.633333333333 71.8333333333333 40.0333333333333 23.4666666666667 257.6 17.3 0 123.5 0 20.7333333333333 74.2 73.0666666666667 47 27.3 46.4 209.233333333333 27.2333333333333 0 7.4 0 8.23333333333333 0 0 0 7.46666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"TT06DC.38.38" 9.76666666666667 16.6333333333333 0 0 24.4333333333333 0 0 8.06666666666667 1132.66666666667 0 96.5666666666667 67.3333333333333 0 0 26.9666666666667 0 0 0 9.3 0 659.866666666667 58.9 46.4333333333333 26.2333333333333 230.066666666667 23.0666666666667 0 201.866666666667 0 23.4 84.5333333333333 106.7 53.5666666666667 36.3666666666667 62.3333333333333 255.633333333333 43.4666666666667 0 11.3666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.6 0 0
"TT06DC.38.39" 51.6666666666667 8.36666666666667 12.4666666666667 8.7 14.9666666666667 10.8333333333333 21.6666666666667 0 75.5666666666667 16.4333333333333 121.7 69.9333333333333 0 11.6666666666667 38.2 0 0 0 19.8666666666667 7.26666666666667 655.4 63.0666666666667 28.1666666666667 33.3333333333333 333.733333333333 34.5333333333333 0 545.066666666667 0 0 101.933333333333 185.833333333333 70.6 41.9333333333333 80.5666666666667 375.266666666667 77.2666666666667 6.13333333333333 20.2 0 9.83333333333333 0 0 0 8.83333333333333 0 0 0 0 0 15.4666666666667 0 0 0 0 2.3 0 0
"TT06DC.38.41" 35.1333333333333 0 22.7666666666667 18.4333333333333 61.5 0 7 7.93333333333333 1140.93333333333 11.1333333333333 122.8 71.9 0 0 22.6333333333333 0 0 0 16.8666666666667 12.6 523.1 31.1 35.7666666666667 0 529.633333333333 16.5 0 252.7 0 23.4333333333333 133.6 107.8 49.9333333333333 22.2333333333333 39.7 218.166666666667 38.3666666666667 11.5333333333333 9.33333333333333 0 12.7 0 0 0 15 0 0 0 7.56666666666667 0 0 0 0 0 0 3.73333333333333 0 0
"TT06DC.38.42" 57.6666666666667 0 11.8333333333333 0 19.5333333333333 0 0 0 1100.73333333333 6.3 79.7 40.8333333333333 0 13.3 24.3 0 0 0 0 14.9 326.433333333333 31.4 22.7666666666667 15.8333333333333 275.666666666667 17.8 0 125.1 0 18.6666666666667 91.2666666666667 82.8666666666667 0 30.2 28.5666666666667 170.2 41.0666666666667 8.76666666666667 0 0 15.7 0 0 0 17.0333333333333 0 0 0 0 0 9.1 0 0 0 0 0 0 0
"TT06DC.38.44" 6.3 7.63333333333333 0 13.1 26.6666666666667 30.7 11.5666666666667 5.46666666666667 265.766666666667 36.4333333333333 200.5 74.7666666666667 0 16.2333333333333 34.8 18.6666666666667 0 0 28.4333333333333 16.0333333333333 1011 81.5666666666667 44.4 25.3333333333333 612.166666666667 18.7333333333333 0 495.5 32.4333333333333 47.5333333333333 138.1 151.6 82.2 42.0333333333333 107.3 334.333333333333 57.7 9.86666666666667 20.7666666666667 0 13.3666666666667 0 0 0 13.4333333333333 0 0 10.7666666666667 0 0 0 0 0 0 0 3.73333333333333 0 0
"TT06DC.38.47" 8.23333333333333 4.46666666666667 0 3.8 28.7 0 0 6.13333333333333 86.1333333333333 12.9666666666667 56.9 65.0333333333333 3.76666666666667 9.03333333333333 27.9 12.4333333333333 0 9.53333333333333 5.8 13.5 862.2 83.0333333333333 0 21.3666666666667 260.8 23.4666666666667 0 205.166666666667 0 0 73.1333333333333 76.7 34.4666666666667 33.0666666666667 55.0333333333333 208.433333333333 31.2 13.3 41.7666666666667 0 28.4333333333333 0 0 0 24.1333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
